Date,Stock Price,Book Value per Share,Price to Book Ratio
2022-01-07,54.24,,2.86
2021-09-30,52.75,$18.96,2.78
2021-06-30,54.12,$18.14,2.98
2021-03-31,55.56,$17.56,3.16
2020-12-31,55.54,$16.74,3.32
2020-09-30,55.65,$16.08,3.46
2020-06-30,50.99,$15.49,3.29
2020-03-31,49.17,$14.90,3.30
2019-12-31,55.60,$15.19,3.66
2019-09-30,54.10,$14.58,3.71
2019-06-30,50.66,$14.01,3.62
2019-03-31,51.90,$13.89,3.74
2018-12-31,48.83,$13.24,3.69
2018-09-30,45.87,$13.57,3.38
2018-06-30,42.73,$12.97,3.30
2018-03-31,40.11,$12.67,3.17
2017-12-31,43.89,$10.95,4.01
2017-09-30,40.55,$6.97,5.81
2017-06-30,36.11,$6.56,5.51
2017-03-31,38.96,$6.14,6.35
2016-12-31,42.20,$5.90,7.16
2016-09-30,40.63,$5.39,7.53
2016-06-30,43.21,$5.09,8.49
2016-03-31,41.41,$4.93,8.40
2015-12-31,34.96,$4.38,7.98
2015-09-30,32.49,$3.57,9.09
2015-06-30,34.40,$3.17,10.86
2015-03-31,35.49,$2.64,13.45
2014-12-31,33.74,$3.29,10.25
2014-09-30,35.66,$4.33,8.24
2014-06-30,34.53,$3.86,8.94
2014-03-31,33.20,$3.34,9.93
2013-12-31,33.93,$33.34,1.02
2013-09-30,31.86,$31.54,1.01
2013-06-30,34.02,$30.46,1.12
2013-03-31,32.87,$30.61,1.07
2012-12-31,28.60,$29.92,0.96
2012-09-30,29.79,$32.46,0.92
2012-06-30,28.73,$31.74,0.91
2012-03-31,24.39,$31.12,0.78
2011-12-31,25.27,$30.31,0.83
2011-09-30,22.86,$30.91,0.74
2011-06-30,22.83,$32.05,0.71
2011-03-31,23.33,$31.41,0.74
2010-12-31,21.37,$30.74,0.70
2010-09-30,19.19,$29.94,0.64
2010-06-30,15.16,$29.88,0.51
2010-03-31,16.53,$29.95,0.55
2009-12-31,17.39,$29.67,0.59
2009-09-30,15.64,$29.78,0.53
2009-06-30,15.62,$29.16,0.54
2009-03-31,15.14,$28.36,0.53
2008-12-31,16.75,$27.78,0.60
2008-09-30,15.60,$17.94,0.87
2008-06-30,17.00,$17.87,0.95
2008-03-31,17.22,$17.64,0.98
2007-12-31,20.43,$17.58,1.16
2007-09-30,20.51,$17.19,1.19
2007-06-30,18.89,$17.17,1.10
2007-03-31,17.21,$16.80,1.02
2006-12-31,16.72,$16.67,1.00
2006-09-30,15.89,$15.85,1.00
2006-06-30,14.16,$15.45,0.92
2006-03-31,14.23,$15.35,0.93
